"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"
"Country"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"
"Liberia","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","","","","","","","51","69","40","50","69","40","50","69","40","50","69","40","50","69","40","45","64","35","39","58","31","34","53","26","29","47","21","24","42","16","18","36","11","13","31","6","8","25","2","5","20","0","5","20","0","5","20","0"
"Malawi","9","15","7","9","16","8","10","18","8","10","19","8","11","20","9","11","21","9","12","22","10","12","24","10","12","25","10","13","26","11","13","27","11","14","28","11","14","29","12","15","31","12","15","32","12","16","33","13","16","34","13","17","35","13"
"Maldives","96","97","95","96","97","95","96","97","95","96","97","95","96","97","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mali","52","70","39","52","70","39","52","70","39","51","70","39","51","70","39","51","70","39","51","70","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marshall Islands","83","84","77","82","84","77","82","84","77","82","84","77","82","84","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mauritania","43","55","29","43","55","29","43","55","29","42","55","29","42","55","29","42","55","29","42","55","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mexico","88","90","80","88","90","80","88","90","80","88","90","80","88","90","80","88","90","80","88","90","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mongolia","71","81","49","71","81","49","71","81","49","71","81","49","71","81","49","71","81","49","71","81","49","71","81","49","71","81","49","70","81","49","70","81","49","70","81","49","69","81","49","69","81","49","","","","","","","","","","","",""
"Mozambique","","","","","","","12","21","8","12","21","8","12","21","8","12","21","8","12","21","8","12","21","8","12","21","8","12","21","8","12","21","8","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","79","92","74","79","92","74","79","92","74","79","92","74","79","92","74","79","92","74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Namibia","45","62","27","44","62","27","44","62","27","43","62","27","43","62","27","43","62","27","42","62","27","42","62","27","42","62","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nepal","48","67","43","49","69","44","50","72","45","51","74","46","52","76","47","53","78","48","54","80","48","55","82","49","56","84","50","56","84","50","55","84","50","55","84","50","55","84","50","","","","","","","","","","","","","","",""
"Niger","","","","","","","","","","","","","","","","","","","","","","9","30","5","9","30","5","9","30","5","9","30","5","9","30","5","9","30","5","9","30","5","9","30","5","9","30","5","","","","","",""
"Nigeria","42","53","31","42","53","31","42","53","31","41","53","31","41","53","31","41","53","31","41","53","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oman","97","","","97","","","97","","","97","","","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistan","60","83","46","60","83","46","59","83","46","59","83","46","59","83","46","59","83","46","59","83","46","59","83","46","59","83","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Paraguay","80","84","72","80","84","72","80","84","72","79","84","72","79","84","72","79","84","72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peru","","","56","","","56","","","56","","","56","","","56","","","56","","","56","","","56","","","56","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","78","85","73","78","85","73","78","85","73","78","85","73","78","85","73","78","85","73","78","85","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of Moldova","","","","87","93","82","87","93","82","87","93","82","87","93","82","87","93","82","87","93","82","87","93","82","87","93","82","87","93","82","","","","","","","","","","","","","","","","","","","","","","","",""
"Rwanda","5","13","3","4","13","3","4","13","2","4","12","2","4","12","2","4","12","2","3","11","2","3","11","2","3","11","2","3","10","1","3","10","1","3","9","1","2","9","1","2","9","1","2","8","1","2","8","0","1","8","0","1","7","0"
"Saint Lucia","","","","87","88","87","87","88","87","87","88","87","87","88","87","87","88","87","87","88","87","87","88","87","87","88","87","87","88","87","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","41","39","47","41","39","47","41","39","47","42","39","47","42","39","47","42","39","47","42","39","47","42","39","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","24","42","9","24","42","9","24","42","9","24","42","9","24","42","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serbia","","","","","","","","","","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","","","","","","","","","","","","","","","","","",""
"Sierra Leone","19","27","14","18","26","13","17","25","12","17","24","12","16","23","11","15","22","10","14","20","10","13","19","9","12","18","8","11","17","8","11","17","8","11","17","8","11","17","8","11","17","8","","","","","","","","","","","",""
"Solomon Islands","36","59","29","36","59","29","36","59","29","35","59","29","35","59","29","35","59","29","35","59","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Somalia","10","12","8","10","12","8","10","12","8","10","12","8","10","12","8","10","12","8","10","12","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","44","53","27","44","53","27","44","53","27","44","53","27","43","53","27","43","53","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sudan","23","32","19","23","32","19","23","32","19","23","32","19","23","32","19","23","32","19","23","32","19","23","32","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Suriname","","","","","","","","","","68","74","55","68","74","55","68","74","55","68","74","55","68","74","55","68","74","55","68","74","55","68","74","55","68","74","55","","","","","","","","","","","","","","","","","",""
"Syrian Arab Republic","71","72","69","71","72","69","71","72","69","71","72","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tajikistan","73","87","67","73","87","67","73","88","67","73","88","67","72","88","67","72","88","67","72","88","67","72","89","67","72","89","67","72","89","67","72","89","67","72","89","67","","","","","","","","","","","","","","","","","",""
"Thailand","84","85","83","84","85","83","84","85","83","84","85","83","84","85","83","84","85","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Timor-Leste","28","43","22","28","43","22","28","43","22","28","43","22","28","43","22","28","43","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","10","20","4","10","20","4","10","20","4","10","20","4","10","20","4","10","20","4","10","20","4","10","20","4","10","20","4","10","20","4","10","20","4","10","20","4","9","20","4","9","20","4","","","","","","","","","","","",""
"Trinidad and Tobago","","","","","","","89","89","90","89","89","90","89","89","90","89","89","90","89","89","90","89","89","90","89","89","90","89","89","90","89","89","90","","","","","","","","","","","","","","","","","","","","",""
"Tunisia","79","90","54","80","91","57","82","92","59","83","93","62","85","95","64","86","96","67","88","97","70","90","98","72","89","98","72","89","98","72","89","98","72","89","98","72","","","","","","","","","","","","","","","","","",""
"Turkmenistan","100","100","100","99","100","99","98","99","97","96","98","94","94","96","92","92","95","89","91","94","87","89","93","85","87","92","82","85","91","80","83","90","77","82","89","75","80","88","73","78","87","70","76","86","68","74","85","65","73","84","63","71","83","61"
"Uganda","21","34","17","20","33","16","19","31","15","18","30","15","17","28","14","16","27","13","14","25","12","13","24","11","12","22","10","11","21","9","10","19","8","9","18","7","8","16","6","7","15","5","6","13","4","5","12","3","4","10","2","3","9","2"
